  28 para: '1001010000101111110100101001011111010011101111011001101010010111110101110101111101011111010001011001' (0.996) =  60
  29 host: '1000110111111001010111010101001100100001111011101111111110111111011101001011011010001111011110010101' (1.000) =  63
  29 para: '1001010000101111101100101011011111010011101111011001101011000010110001110111111101110111010001011111' (0.999) =  61
  30 host: '1000110111101001010111110101111100000011101011101101111111110111111101001000011100101110111110111001' (1.000) =  64
  30 para: '1001010010101111110100101001011111010011101111011001101110010111110101110101111101011111010001011001' (0.999) =  62
  31 host: '1100110111001101011111010101001100110101111011101111111010010111011101011101011110001111011110010101' (1.000) =  65
  31 para: '1001010011001111101101111001011111010011101011011001101011000010110001110111111110110111011101011111' (0.999) =  64
  32 host: '1000110111001101011111010101011100100111111011101111111011010111011101011101010110001111011110010101' (1.000) =  65
  32 para: '0111111000111011100110111111010111111011101111100110101011101010101101110111111001010111000011010011' (0.999) =  66
  33 host: '1010110111111001010111110101111100100011101011111101111111110111111101001001011111001110111110001001' (1.000) =  68
  33 para: '1001010011111101110100101001011111010011101111111001101110010111111101110111111101011111010001111001' (0.996) =  67
  34 host: '1010110111111001010011110101010110100011101011111111101111110111111101011001011111001110111111011001' (1.000) =  69
  34 para: '1001010011111101110100101001011111010011101111111001101110010111110101110111111101011111010001111101' (0.996) =  67
  35 host: '1010110111111101010111110101111101100011101011111101111111110111011111001001011111001110111110001001' (1.000) =  70
  35 para: '1001010011111111110110101001011111010011101111111001101111010111111101110111111101011111010001111001' (0.996) =  70
  36 host: '1011110111111001010111110101111100100011101011111101111111110111111111001101001111101110111100001001' (1.000) =  70
  36 para: '0111111000111011100110111111010111111011101111110111101011101010111101110011111101010111000011010111' (0.996) =  70
  37 host: '1011110111111001010111110111111101100011101011111111111111110111111101001100011111101110111110001001' (1.000) =  73
  37 para: '0111111000111011100110111111010111111011101111110111111011101010101111110111111001010111000011010111' (0.996) =  71
  38 host: '1011110111111001010111110101111110100111101011111101111111110111111101001101011111101110111110001001' (1.000) =  73
  38 para: '1101010111101011101100101111011111010011111111011101111011000010111011110111110111110111010001111111' (0.996) =  71
  39 host: '1011110111111011010111010101111110100111101011111100111111110111111101001111011111101110111110001001' (1.000) =  73
  39 para: '0111111010111001111110111110010111111011101111110111101111101110101111110011111101010111100011010011' (0.996) =  73
  40 host: '1011110111111011010111010101111100101111101011111100111111010111111101001101011111101110111111001001' (1.000) =  72
  40 para: '1111111000111011101111111111010111111111111111110111101011111110101101110011111001010111000011011010' (0.996) =  74
  41 host: '1011110111111011010111100111111101100011101011111111110111110110111101001100111111101110111111011001' (1.000) =  74
  41 para: '1111111000111011101111111111010111111111111111110111101011111110101101100011111001110111000011111010' (0.999) =  75
  42 host: '1011110111111001011111110101111100101011101011111101111101110111111111101101001111111110111100001101' (1.000) =  74
  42 para: '1111111100111111111110111111010111111111111110110111101111111110001101110110111001010111100011010010' (0.996) =  75
  43 host: '1011110111111001010111110111111101100011101111111111111111110110111101001110011111101110111111001001' (1.000) =  75
  43 para: '1111111100111111111110111111010111101111111110110111101111111110001101110110111001010111100011110010' (0.999) =  75
  44 host: '1011110111111001011111110101111100100011101011111101111111110111111111001101011111111111111100001111' (1.000) =  76
  44 para: '1001110101111101110110101101011111110011111111111111101110110011111101110111111101111111110001111001' (1.000) =  76
  45 host: '1011110111111010010111110111111101100011101011111111111111110111111101001100011111111110111111101101' (1.000) =  77
  45 para: '1011110101111101110110101101111111110011111111111011101110110011111101110111111101111111110001111001' (0.999) =  77
  46 host: '1010111111111001010111110111111111100001101111111111111111110111111101001110011111111110111111001001' (1.000) =  77
  46 para: '1001110101111101110110101101111111110011111111111111101110110011111101110111111101111111110001011011' (0.996) =  77
  47 host: '1011110111111001011111111111111111100011111111111111111111110111111001001010011111101110111111001001' (1.000) =  78
