 343: max:0.714, min:0.500, mean:0.622
 344: max:0.714, min:0.500, mean:0.620
 345: max:0.714, min:0.536, mean:0.625
 346: max:0.714, min:0.536, mean:0.619
 347: max:0.714, min:0.536, mean:0.620
 348: max:0.714, min:0.500, mean:0.621
 349: max:0.714, min:0.536, mean:0.616
 350: max:0.714, min:0.500, mean:0.609
 351: max:0.714, min:0.500, mean:0.615
 352: max:0.714, min:0.464, mean:0.615
 353: max:0.714, min:0.536, mean:0.622
 354: max:0.714, min:0.536, mean:0.619
 355: max:0.714, min:0.500, mean:0.621
 356: max:0.714, min:0.536, mean:0.628
 357: max:0.679, min:0.536, mean:0.623
 358: max:0.679, min:0.500, mean:0.620
 359: max:0.679, min:0.500, mean:0.615
 360: max:0.679, min:0.500, mean:0.615
 361: max:0.679, min:0.500, mean:0.624
 362: max:0.714, min:0.500, mean:0.621
 363: max:0.714, min:0.536, mean:0.630
 364: max:0.714, min:0.536, mean:0.625
 365: max:0.714, min:0.536, mean:0.630
 366: max:0.714, min:0.500, mean:0.627
 367: max:0.714, min:0.500, mean:0.626
 368: max:0.714, min:0.536, mean:0.627
 369: max:0.714, min:0.536, mean:0.622
 370: max:0.714, min:0.500, mean:0.633
 371: max:0.679, min:0.536, mean:0.636
 372: max:0.679, min:0.500, mean:0.634
 373: max:0.679, min:0.536, mean:0.629
 374: max:0.714, min:0.536, mean:0.620
 375: max:0.679, min:0.536, mean:0.615
 376: max:0.679, min:0.464, mean:0.613
 377: max:0.679, min:0.393, mean:0.611
 378: max:0.679, min:0.500, mean:0.614
 379: max:0.679, min:0.500, mean:0.617
 380: max:0.679, min:0.500, mean:0.614
 381: max:0.679, min:0.536, mean:0.614
 382: max:0.714, min:0.536, mean:0.611
 383: max:0.714, min:0.536, mean:0.615
 384: max:0.714, min:0.464, mean:0.618
 385: max:0.714, min:0.536, mean:0.617
 386: max:0.679, min:0.500, mean:0.620
 387: max:0.679, min:0.464, mean:0.619
 388: max:0.679, min:0.500, mean:0.618
 389: max:0.679, min:0.500, mean:0.616
 390: max:0.679, min:0.500, mean:0.613
 391: max:0.679, min:0.500, mean:0.611
 392: max:0.679, min:0.500, mean:0.612
 393: max:0.679, min:0.500, mean:0.615
 394: max:0.679, min:0.500, mean:0.613
 395: max:0.679, min:0.464, mean:0.609
 396: max:0.679, min:0.500, mean:0.615
 397: max:0.679, min:0.500, mean:0.609
 398: max:0.679, min:0.464, mean:0.604
 399: max:0.679, min:0.500, mean:0.601
 400: max:0.679, min:0.500, mean:0.606
 401: max:0.679, min:0.429, mean:0.599
 402: max:0.679, min:0.500, mean:0.597
 403: max:0.679, min:0.464, mean:0.593
 404: max:0.643, min:0.536, mean:0.595
 405: max:0.679, min:0.429, mean:0.586
 406: max:0.679, min:0.500, mean:0.585
 407: max:0.679, min:0.464, mean:0.594
 408: max:0.679, min:0.464, mean:0.597
 409: max:0.679, min:0.464, mean:0.596
 410: max:0.679, min:0.464, mean:0.600
 411: max:0.679, min:0.500, mean:0.599
 412: max:0.679, min:0.500, mean:0.603
 413: max:0.679, min:0.500, mean:0.605
 414: max:0.679, min:0.464, mean:0.606
 415: max:0.679, min:0.536, mean:0.611
 416: max:0.679, min:0.500, mean:0.609
 417: max:0.679, min:0.536, mean:0.606
 418: max:0.714, min:0.464, mean:0.609
 419: max:0.714, min:0.500, mean:0.616
 420: max:0.679, min:0.500, mean:0.617
 421: max:0.679, min:0.536, mean:0.610
 422: max:0.679, min:0.500, mean:0.610
 423: max:0.679, min:0.393, mean:0.605
 424: max:0.679, min:0.464, mean:0.604
 425: max:0.679, min:0.464, mean:0.605
 426: max:0.679, min:0.536, mean:0.608
 427: max:0.679, min:0.500, mean:0.605
 428: max:0.679, min:0.500, mean:0.600
 429: max:0.679, min:0.500, mean:0.606
 430: max:0.643, min:0.464, mean:0.602
 431: max:0.679, min:0.500, mean:0.609
 432: max:0.679, min:0.500, mean:0.607
 433: max:0.679, min:0.500, mean:0.607
 434: max:0.679, min:0.500, mean:0.601
 435: max:0.679, min:0.500, mean:0.603
 436: max:0.679, min:0.500, mean:0.601
 437: max:0.679, min:0.500, mean:0.606
 438: max:0.679, min:0.536, mean:0.602
 439: max:0.679, min:0.500, mean:0.595
 440: max:0.679, min:0.464, mean:0.600
 441: max:0.679, min:0.464, mean:0.593
 442: max:0.679, min:0.429, mean:0.598
 443: max:0.714, min:0.500, mean:0.594
 444: max:0.679, min:0.464, mean:0.598
 445: max:0.679, min:0.429, mean:0.596
 446: max:0.679, min:0.500, mean:0.600
 447: max:0.679, min:0.536, mean:0.600
 448: max:0.679, min:0.500, mean:0.597
 449: max:0.679, min:0.500, mean:0.602
 450: max:0.679, min:0.500, mean:0.595
 451: max:0.643, min:0.500, mean:0.589
 452: max:0.643, min:0.464, mean:0.590
 453: max:0.643, min:0.500, mean:0.586
 454: max:0.643, min:0.464, mean:0.581
 455: max:0.643, min:0.429, mean:0.579
 456: max:0.643, min:0.393, mean:0.578
 457: max:0.643, min:0.464, mean:0.579
 458: max:0.643, min:0.464, mean:0.577
 459: max:0.643, min:0.464, mean:0.589
 460: max:0.643, min:0.500, mean:0.591
 461: max:0.679, min:0.464, mean:0.587
 462: max:0.643, min:0.429, mean:0.585
 463: max:0.643, min:0.536, mean:0.585
 464: max:0.643, min:0.464, mean:0.584
 465: max:0.643, min:0.464, mean:0.577
 466: max:0.643, min:0.500, mean:0.573
 467: max:0.679, min:0.464, mean:0.569
 468: max:0.607, min:0.464, mean:0.566
 469: max:0.607, min:0.464, mean:0.560
 470: max:0.643, min:0.464, mean:0.562
 471: max:0.643, min:0.429, mean:0.565
 472: max:0.607, min:0.464, mean:0.566
 473: max:0.607, min:0.464, mean:0.565
 474: max:0.643, min:0.500, mean:0.561
 475: max:0.643, min:0.393, mean:0.556
 476: max:0.643, min:0.464, mean:0.560
 477: max:0.643, min:0.464, mean:0.565
 478: max:0.643, min:0.464, mean:0.566
 479: max:0.643, min:0.429, mean:0.564
 480: max:0.643, min:0.500, mean:0.570
 481: max:0.643, min:0.500, mean:0.571
 482: max:0.643, min:0.464, mean:0.571
 483: max:0.643, min:0.464, mean:0.570
 484: max:0.643, min:0.500, mean:0.576
 485: max:0.643, min:0.464, mean:0.568
 486: max:0.643, min:0.464, mean:0.573
 487: max:0.643, min:0.500, mean:0.578
 488: max:0.643, min:0.429, mean:0.579
 489: max:0.643, min:0.500, mean:0.584
 490: max:0.643, min:0.464, mean:0.593
 491: max:0.643, min:0.500, mean:0.591
 492: max:0.643, min:0.500, mean:0.589
 493: max:0.643, min:0.500, mean:0.587
 494: max:0.679, min:0.429, mean:0.588
 495: max:0.679, min:0.536, mean:0.591
 496: max:0.679, min:0.464, mean:0.589
 497: max:0.643, min:0.500, mean:0.586
 498: max:0.643, min:0.464, mean:0.588
 499: max:0.679, min:0.500, mean:0.589
 500: max:0.643, min:0.464, mean:0.589
 501: max:0.643, min:0.500, mean:0.588
 502: max:0.679, min:0.464, mean:0.594
 503: max:0.679, min:0.464, mean:0.595
 504: max:0.679, min:0.464, mean:0.599
 505: max:0.679, min:0.536, mean:0.605
 506: max:0.679, min:0.500, mean:0.604
 507: max:0.679, min:0.500, mean:0.604
 508: max:0.679, min:0.500, mean:0.602
 509: max:0.643, min:0.500, mean:0.600
 510: max:0.643, min:0.500, mean:0.605
 511: max:0.679, min:0.464, mean:0.603
 512: max:0.679, min:0.536, mean:0.609
 513: max:0.679, min:0.500, mean:0.597
 514: max:0.679, min:0.464, mean:0.599
 515: max:0.679, min:0.429, mean:0.598
 516: max:0.643, min:0.500, mean:0.597
 517: max:0.643, min:0.500, mean:0.591
 518: max:0.643, min:0.500, mean:0.585
 519: max:0.643, min:0.464, mean:0.579
 520: max:0.679, min:0.464, mean:0.582
 521: max:0.679, min:0.464, mean:0.588
 522: max:0.679, min:0.464, mean:0.598
 523: max:0.679, min:0.500, mean:0.601
 524: max:0.679, min:0.500, mean:0.602
 525: max:0.679, min:0.500, mean:0.598
 526: max:0.679, min:0.500, mean:0.602
 527: max:0.679, min:0.464, mean:0.610
 528: max:0.679, min:0.536, mean:0.614
 529: max:0.679, min:0.500, mean:0.607
 530: max:0.679, min:0.500, mean:0.608
 531: max:0.679, min:0.500, mean:0.609
 532: max:0.679, min:0.464, mean:0.608
 533: max:0.679, min:0.464, mean:0.606
 534: max:0.679, min:0.536, mean:0.603
 535: max:0.643, min:0.500, mean:0.596
 536: max:0.679, min:0.464, mean:0.594
 537: max:0.643, min:0.464, mean:0.593
 538: max:0.643, min:0.500, mean:0.598
 539: max:0.643, min:0.464, mean:0.595
 540: max:0.679, min:0.464, mean:0.595
 541: max:0.679, min:0.500, mean:0.603
 542: max:0.679, min:0.536, mean:0.608
 543: max:0.679, min:0.500, mean:0.606
 544: max:0.679, min:0.500, mean:0.609
 545: max:0.679, min:0.500, mean:0.601
 546: max:0.679, min:0.500, mean:0.596
 547: max:0.643, min:0.500, mean:0.596
 548: max:0.643, min:0.500, mean:0.594
 549: max:0.643, min:0.500, mean:0.586
 550: max:0.643, min:0.500, mean:0.587
 551: max:0.643, min:0.429, mean:0.584
 552: max:0.679, min:0.464, mean:0.580
 553: max:0.643, min:0.500, mean:0.591
 554: max:0.679, min:0.500, mean:0.592
 555: max:0.679, min:0.464, mean:0.586
 556: max:0.679, min:0.429, mean:0.585
 557: max:0.679, min:0.464, mean:0.590
 558: max:0.643, min:0.429, mean:0.588
 559: max:0.679, min:0.464, mean:0.588
 560: max:0.679, min:0.429, mean:0.586
 561: max:0.679, min:0.500, mean:0.586
 562: max:0.679, min:0.429, mean:0.592
 563: max:0.679, min:0.500, mean:0.594
 564: max:0.679, min:0.464, mean:0.590
 565: max:0.643, min:0.429, mean:0.589
 566: max:0.679, min:0.500, mean:0.584
 567: max:0.679, min:0.464, mean:0.580
 568: max:0.679, min:0.500, mean:0.588
 569: max:0.679, min:0.464, mean:0.591
 570: max:0.679, min:0.500, mean:0.593
 571: max:0.714, min:0.464, mean:0.591
 572: max:0.714, min:0.500, mean:0.597
 573: max:0.714, min:0.500, mean:0.602
 574: max:0.679, min:0.464, mean:0.601
 575: max:0.679, min:0.464, mean:0.606
 576: max:0.679, min:0.464, mean:0.605
 577: max:0.679, min:0.464, mean:0.606
 578: max:0.679, min:0.464, mean:0.611
 579: max:0.679, min:0.500, mean:0.613
 580: max:0.679, min:0.500, mean:0.620
 581: max:0.679, min:0.536, mean:0.619
 582: max:0.679, min:0.464, mean:0.613
 583: max:0.679, min:0.429, mean:0.612
 584: max:0.679, min:0.464, mean:0.612
 585: max:0.679, min:0.536, mean:0.617
 586: max:0.679, min:0.500, mean:0.619
 587: max:0.679, min:0.536, mean:0.619
 588: max:0.679, min:0.500, mean:0.615
 589: max:0.714, min:0.536, mean:0.618
 590: max:0.714, min:0.500, mean:0.620
 591: max:0.714, min:0.536, mean:0.624
 592: max:0.714, min:0.464, mean:0.616
 593: max:0.679, min:0.500, mean:0.618
 594: max:0.679, min:0.500, mean:0.621
 595: max:0.679, min:0.500, mean:0.629
 596: max:0.679, min:0.464, mean:0.630
 597: max:0.679, min:0.500, mean:0.626
 598: max:0.679, min:0.536, mean:0.629
 599: max:0.714, min:0.536, mean:0.634
 600: max:0.714, min:0.536, mean:0.635
 601: max:0.714, min:0.571, mean:0.635
 602: max:0.714, min:0.464, mean:0.628
 603: max:0.714, min:0.500, mean:0.635
 604: max:0.714, min:0.536, mean:0.630
 605: max:0.714, min:0.536, mean:0.633
 606: max:0.679, min:0.536, mean:0.638
 607: max:0.679, min:0.500, mean:0.637
 608: max:0.679, min:0.464, mean:0.631
 609: max:0.679, min:0.536, mean:0.638
 610: max:0.714, min:0.536, mean:0.630
 611: max:0.714, min:0.536, mean:0.639
 612: max:0.714, min:0.500, mean:0.638
 613: max:0.714, min:0.536, mean:0.634
 614: max:0.714, min:0.536, mean:0.634
 615: max:0.714, min:0.536, mean:0.639
 616: max:0.679, min:0.536, mean:0.641
 617: max:0.714, min:0.571, mean:0.645
 618: max:0.714, min:0.536, mean:0.644
 619: max:0.714, min:0.571, mean:0.638
 620: max:0.714, min:0.536, mean:0.633
 621: max:0.714, min:0.536, mean:0.635
 622: max:0.714, min:0.500, mean:0.641
 623: max:0.714, min:0.500, mean:0.642
 624: max:0.714, min:0.536, mean:0.637
 625: max:0.679, min:0.536, mean:0.632
 626: max:0.679, min:0.500, mean:0.631
 627: max:0.679, min:0.536, mean:0.631
 628: max:0.679, min:0.536, mean:0.635
 629: max:0.679, min:0.536, mean:0.630
 630: max:0.679, min:0.500, mean:0.631
 631: max:0.679, min:0.500, mean:0.631
